ID,Post_Title,Post_description,News_Categories,Image_URLs,name,email,Number
a027,Post Title 27,Post Description 27,Health,"http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg ,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg",Yatin,yatin@gmail.com,3527632844
a028,Post Title 28,Post Description 28,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_forest.jpg,Dilen,dilen@gmail.com,2297207182
a029,Post Title 29,Post Description 29,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Harshit,harshit@gmail.com,8767654408
a030,Post Title 30,Post Description 30,Health,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,sahil,sahil@gmail.com,5415327346
a031,Post Title 31,Post Description 31,Science,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Yatin,yatin@gmail.com,7327816019
a032,Post Title 32,Post Description 32,Science,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Dilen,dilen@gmail.com,1744226752
a033,Post Title 33,Post Description 33,Science,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,Piyanshu,piyanshu@gmail.com,9956726117
a034,Post Title 34,Post Description 34,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Harshit,harshit@gmail.com,765218739
a035,Post Title 35,Post Description 35,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg,Yatin,yatin@gmail.com,2237755860
a036,Post Title 36,Post Description 36,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Dilen,dilen@gmail.com,8852057424
a037,Post Title 37,Post Description 37,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_5terre.jpg,sahil,sahil@gmail.com,9338116963
a038,Post Title 38,Post Description 38,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Harshit,harshit@gmail.com,4870970854
a039,Post Title 39,Post Description 39 asdasdasdasd,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Dilen,dilen@gmail.com,8111327187
a040,Post Title 40,Post Description 40,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg,Yatin,yatin@gmail.com,1171329907
a041,Post Title 41,Post Description 41,Travel,http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg,Piyanshu,piyanshu@gmail.com,5972901118
a042,Post Title 42,Post Description 42 ,Travel,"http://localhost/csvpost/wp-content/uploads/2024/06/img_lights.jpg ,http://localhost/csvpost/wp-content/uploads/2024/06/img_mountains.jpg",Harshit,harshit@gmail.com,2801948686
